model,dataset,device,IOparameter,GDC,pgm_noise_scale,read_noise_scale,drift_scale,Gmax,Gmin,G_ratio,inf_time,0.01,0.05,0.1,GST225,default,linear,log
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1,,,,91.665001,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10,,,,91.474998,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,100,,,,90.139999,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000,,,,84.379005,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,3600,,,,78.643997,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000,,,,73.110992,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,86400,,,,57.172997,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000000,,,,28.005001,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,100000000,,,,21.935001,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000,,,,18.811001,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000000000,,,,17.349003,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000000,,,,13.428999,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000000000,,,,9.713,,,
